source	target
Та ну, капець.	Да ну, капец.
Куди ти щовечора зникаєш, друже? Скажи чесно, не вішай лапшу.	Куда ты каждый вечер пропадаешь, друг? Говори честно, не вешай лапшу.
Це повний провал, я в шоці — не очікував такого фіаско.	Это полный провал, я в шоке — не ожидал такого фиаско.
Увечері зустрінемось біля «Пузатої хати», бери готівку — платитимемо по-людськи.	Вечером увидимся у «Пузатой хаты», бери наличку — заплатим по‑человечески.
Замовив кросівки на Rozetka, кур'єр накосячив — привіз не той розмір, тепер треба повертати й шукати інші.	Заказал кроссовки на Rozetka, курьер накосячил — привёз не тот размер, теперь надо возвращать и искать другие.
Та ти що, серйозно?	Да ты что, серьёзно?
Він кинув мене на півдорозі з цим проєктом і навіть не відповів на дзвінки.	Он бросил меня на полпути с этим проектом и даже не отвечал на звонки.
Я так розірвався на роботі цього тижня, що ледь не впав з ніг — треба звільнитися хоч на місяць.	Я так вымотался на работе на этой неделе, что чуть не упал с ног — надо уволиться хотя бы на месяц.
Зустрінемось біля пам'ятника Дюку в Одесі о 15:00, не запізнюйся.	Встретимся у памятника Дюка в Одессе в 15:00, не опаздывай.
А ти куди, бля, подів ключі? Я вже в ауті.	А ты куда, бля, дел ключи? Я уже в ауте.
Блін, запізнююсь.	Блин, опаздываю.
Не парся, все буде ништяк.	Не парься, всё будет ништяк.
Востаннє він жив на широку ногу, поки не програв усе в тоталізаторі.	В последний раз он жил на широкую ногу, пока всё не проиграл в тотализаторе.
Куди ти звалив, козаче? Вже темно, мамка дзвонить.	Куда ты свалил, казак? Уже темно, мамка звонит.
Це повний треш, я так більше не буду — йдіть всі до біса!	Это полный трэш, я так больше не буду — идите все к чёрту!
Блін, знову провтикала.	Блин, опять прозевала.
Не парся, все буде ништяк, я вирішу це.	Не парься, всё будет ништяк, я это решу.
Куди ти зник, друже? Вчора пів ночі тебе не було.	Куда ты пропал, дружище? Вчера пол ночи тебя не было.
Це капець, я більше так не буду терпіти!	Это капец, я больше так не буду терпеть!
Завтра йдемо на Андріївський узвіз — там новий бар, кажуть, грає жива музика до ранку.	Завтра идём на Андреевский спуск — там новый бар, говорят, живая музыка до утра.
Та йди геть!	Да проваливай!
Ти бачив ту нову тусу на Подолі вчора?	Ты видел ту новую тусовку на Подоле вчера?
Я вже до чортів втомився від цього нескінченного ремонту — здається, ми ніколи не завершимо.	Я уже до чёртиков устал от этого бесконечного ремонта — кажется, мы никогда не закончим.
Такий собі фарт: виграв 100 грн у лотереї і відразу загубив чек.	Вот такое везение: выиграл 100 гривен в лотерее и сразу потерял чек.
Блін, ця маршрутка знову стоїть у трафіку — краще б я пішки пішов.	Блин, эта маршрутка опять стоит в пробке — лучше бы я пошёл пешком.
Та ну його, блін!	Да ну его, блин!
Він із того тесту — ні риба, ні м'ясо.	Он из тех — ни рыба, ни мясо.
Куди, чорт забирай, ми повинні бігти тепер?	Куда, чёрт возьми, нам теперь бежать?
Замовила борщ і пампушки через OLX, але продавець зник і не відповідає — що мені тепер робити?	Заказала борщ с пампушками через OLX, но продавец пропал и не отвечает — что мне теперь делать?
